idx,lower,upper,time
1, -Inf, -5.7646857317099975, 21.718204355
2, -Inf, -3.0231621998734557, 23.022325377
3, -Inf, 2.223569861465945, 21.853084967
4, -Inf, -4.522017889340255, 23.818739024
5, -Inf, -3.9537566990461146, 22.010773774
6, -Inf, -2.4731893106988645, 21.866067372
7, -Inf, -2.454837906267662, 21.793700431
8, -Inf, -0.5491917181260981, 22.993464145
9, -Inf, 1.2065742237541275, 22.832479295
10, -Inf, -2.5060477151412996, 21.778982327
11, -Inf, -7.067641311787474, 24.006572374
12, -Inf, -3.2797892559278226, 23.333113751
13, -Inf, -0.9982804905440785, 22.171411221
14, -Inf, -5.167120937602894, 23.523557151
15, -Inf, -5.274729513328106, 24.109868445
16, -Inf, -0.9580172697813154, 22.204764029
17, -Inf, -3.857041596251487, 21.899489679
18, -Inf, -4.750080764043209, 21.019452576
20, -Inf, -3.283713876179334, 22.600085721
22, -Inf, -4.080353993712459, 22.189689316
23, -Inf, 3.11584614770584, 21.415499438
24, -Inf, -4.480405405057957, 22.0480289
25, -Inf, -1.9280854733901829, 22.211895822
26, -Inf, -7.935837263023845, 23.572405549
27, -Inf, -0.5385846993451704, 21.104142517
28, -Inf, -3.600260696335619, 22.299376971
29, -Inf, -7.180083009942597, 23.11765908
30, -Inf, -1.8691742933267403, 21.279312485
31, -Inf, -4.484795637565221, 22.444662968
32, -Inf, 1.6691987920763043, 21.80853028
33, -Inf, -7.843098591751574, 22.435684849
35, -Inf, -4.533007209228174, 22.043099212
36, -Inf, -5.01989221289988, 22.79374329
37, -Inf, -1.911011475330597, 22.324627347
38, -Inf, -2.949452701413252, 22.095974151
39, -Inf, 1.8057853444585321, 23.289371467
40, -Inf, -2.7537513705616092, 24.203058399
41, -Inf, 2.203031326784683, 21.305182203
42, -Inf, -1.6324240480224526, 21.66133285
43, -Inf, -2.0157967683369242, 22.764098285
45, -Inf, -2.504963180411049, 23.260128019
46, -Inf, 4.781676806591288, 22.440480232
47, -Inf, 1.4509150695361837, 21.771420968
48, -Inf, -0.2657489056893727, 21.946704186
49, -Inf, -3.4367933823478167, 23.805928421
50, -Inf, -3.9909639003336634, 21.462553281
51, -Inf, -0.1570841787857118, 22.501776609
52, -Inf, -3.03052798772616, 23.044811431
53, -Inf, -2.2800025666236894, 23.364594039
54, -Inf, -0.3920233539694511, 22.043811724
55, -Inf, -5.7030065489627395, 21.63834991
56, -Inf, -3.8332581163995676, 22.468735386
57, -Inf, -5.427038134476193, 23.204543922
58, -Inf, 0.8831380506657629, 22.196907498
59, -Inf, -2.7380455682110734, 22.170990957
60, -Inf, 5.271764501736257, 21.331238579
61, -Inf, 0.0782358751907748, 22.882895915
62, -Inf, 1.083484408938216, 22.854533805
63, -Inf, 4.400264492729949, 21.193618251
64, -Inf, -1.5514196803952074, 22.961953031
65, -Inf, -2.2050910751322137, 23.102336802
66, -Inf, 5.059279554397783, 21.136772151
67, -Inf, -0.47383812099411227, 21.006412085
68, -Inf, -4.738491288461647, 21.446987285
69, -Inf, -4.89454326322268, 24.156383014
70, -Inf, -4.76182701685513, 22.185819307
71, -Inf, -2.9137847217039052, 20.998691439
72, -Inf, -7.162417180008389, 22.874957017
73, -Inf, -1.2598599768602932, 23.24681532
74, -Inf, 0.9626660291684903, 22.639199468
75, -Inf, -1.9028617169269224, 22.755929565
76, -Inf, -4.792260116429853, 21.804658995
77, -Inf, -4.434460334228431, 22.848613746
78, -Inf, 1.137642086745676, 21.554119419
79, -Inf, 1.508314824076539, 22.291966576
80, -Inf, -3.301659878994702, 22.367929037
81, -Inf, -1.7245476362233667, 22.084472552
82, -Inf, -2.4317866790457483, 23.213883512
83, -Inf, -6.817625762961624, 22.232649345
84, -Inf, 0.6862597273566582, 21.340625181
85, -Inf, -1.4606967873336454, 23.860033613
86, -Inf, -5.704949497312497, 22.961400172
87, -Inf, -5.170759894376465, 22.09317604
88, -Inf, -2.960936794021375, 22.907556654
89, -Inf, -5.148562409903382, 22.553044562
90, -Inf, -1.5906286642418888, 21.651485757
91, -Inf, -4.749327099554446, 22.73061514
92, -Inf, -5.668921168582466, 21.596533798
93, -Inf, 4.665370249601515, 22.482102946
94, -Inf, -3.535418626459761, 23.926588053
95, -Inf, -0.7785759371573624, 23.483233799
96, -Inf, -2.1750009626817057, 22.875636685
97, -Inf, 4.044009094398477, 22.06997062
98, -Inf, 1.024255795144613, 22.462709011
99, -Inf, -0.5113825527786418, 22.903167323
100, -Inf, -4.157104531968836, 22.907265268
