idx,lower,upper,steps,time
1, -7.53167200088501, -5.665043739658946, 1, 4.36262039
2, -4.603133678436279, -2.9691610548164014, 1, 0.778476972
3, -4.359286546707153, 2.3922363867785528, 42, 60.715164094
4, -4.991723537445068, -4.511128218782735, 1, 0.737558101
5, -5.647806167602539, -3.8595771581933507, 1, 0.781296657
6, -6.265564203262329, -2.294085465119558, 1, 1.152172942
7, -5.345889568328857, -2.2663236113220524, 1, 0.765816319
8, -4.0473291873931885, -0.3554271731050811, 1, 0.745690995
9, -0.7881460189819336, 1.2180325065118307, 47, 61.44651956
10, -5.360940933227539, -2.375564643977926, 1, 0.621110074
11, -7.859635233879089, -7.0478269833990055, 1, 0.747586721
12, -5.6224119663238525, -3.1719023458611884, 1, 0.761880668
13, -4.1391119956970215, -0.8735522486628673, 1, 0.627501316
14, -6.124172687530518, -5.140584124078197, 1, 0.747460704
15, -7.3025336265563965, -5.1942577373106555, 1, 0.779337082
16, -3.0530552864074707, -0.8734120748569785, 1, 0.774488528
17, -5.229419231414795, -3.81171507915975, 1, 0.771565384
18, -6.020600080490112, -4.681044096589161, 1, 0.688649412
20, -5.354046821594238, -3.1739861061945676, 1, 1.08728322
22, -6.315873622894287, -3.995262377763255, 1, 0.762988912
23, 0.9903044700622559, 3.208748298309121, 1, 0.791774725
24, -6.6450114250183105, -4.387592080270551, 1, 0.785336553
25, -4.645686626434326, -1.7398953756943163, 1, 0.822445819
26, -8.184112548828125, -7.93124228897301, 1, 0.743240021
27, -4.237263202667236, -0.32990400190230407, 1, 0.655502399
28, -5.106672763824463, -3.5285476604060504, 1, 0.837390347
29, -8.103246569633484, -7.160405720946724, 1, 1.108369809
30, -5.646548748016357, -1.684742571785125, 1, 0.809400011
31, -6.941299676895142, -4.380622869466193, 1, 0.786586778
32, -3.4673163890838623, 1.8307687301022435, 42, 60.343549329
33, -9.128043055534363, -7.799503232395169, 1, 0.768127219
35, -6.0500898361206055, -4.476415145473231, 1, 0.766068685
36, -6.535538196563721, -4.966264105012977, 1, 0.777871535
37, -3.4091134071350098, -1.8342050537345531, 1, 0.63897209
38, -6.352149248123169, -2.783075064409725, 1, 0.793760043
39, -1.8527069091796875, 1.8145932680485357, 47, 60.363766494
40, -5.530533313751221, -2.6497392996189175, 1, 0.785794878
41, -4.775336980819702, 2.453576704023712, 44, 60.204693416
42, -3.834810256958008, -1.5304552232215123, 1, 0.628357318
43, -3.8053832054138184, -1.9496407760697427, 1, 0.77236224
45, -5.1966938972473145, -2.402096354026038, 1, 0.782607796
46, -0.005002498626708984, 4.940440020835376, 46, 60.196160233
47, -0.06276655197143555, 1.4826122024998436, 49, 61.699369427
48, -3.5801329612731934, -0.09110938980248307, 1, 0.744896827
49, -4.146320581436157, -3.416172822078277, 1, 0.751711371
50, -5.15958833694458, -3.9421192754419634, 1, 0.77151046
51, -4.263118743896484, -0.00366942586965191, 3, 3.510925877
52, -4.347979784011841, -2.9899134445616085, 1, 0.753366058
53, -4.966036796569824, -2.170187585541973, 1, 0.780443352
54, -3.5133581161499023, -0.25117973643518265, 1, 0.800723813
55, -6.838751792907715, -5.668342173094259, 1, 0.754306472
56, -5.478385925292969, -3.7816795645011245, 1, 0.776505012
